term	vocabulary_id	comment
Amygdala	ONVOC:0000112	
Caudate Nucleus	ONVOC:0000113	
Cerebellum	ONVOC:0000114	
Extended Amygdala	ONVOC:0000115	
Globus Pallidus External Segment	ONVOC:0000116	
Globus Pallidus Internal Segment	ONVOC:0000117	
Habenular Nucleus	ONVOC:0000118	
Hippocampus	ONVOC:0000119	
Hypothalamus	ONVOC:0000120	
Mammillary Nucleus	ONVOC:0000121	
Nucleus Accumbens	ONVOC:0000122	
Parabrachial Pigmented Nucleus	ONVOC:0000123	
Putamen	ONVOC:0000124	
Red Nucleus	ONVOC:0000125	
Substantia Nigra Pars Compacta	ONVOC:0000126	
Substantia Nigra Pars Reticulata	ONVOC:0000127	
Subthalamic Nucleus	ONVOC:0000128	
Thalamus	ONVOC:0000129	
Ventral Pallidum	ONVOC:0000130	
Ventral Tegmental Area	ONVOC:0000131	
Locus coeruleus	ONVOC:0000777	
Lateral Geniculate Nucleus	ONVOC:0000778	
Brain Stem	ONVOC:0000781	
